,X,Y,Value,DeltaW1,DeltaW2,DeltaBias,MSE
0,-26.08,-74.08,-1,-0.0014828687423530278,-0.004212075016622405,0.005685846404727868,0.012931539735262728
1,-86.75,85.17,1,0.013013504876260094,-0.012776486574191033,-0.01500115835880126,0.09001390084233316
2,-25.81,72.84,1,0.0010260307046417736,-0.0028956248169743045,-0.003975322373660495,0.006321275189810284
3,-44.91,27.29,1,-0.013603831346164406,0.008266500944930453,0.03029131896273526,0.36702560180086585
4,-6.47,-62.67,-1,0.00026152165058589296,0.002533162572212969,-0.0040420656968453315,0.006535318039045494
5,82.84,33.24,1,0.020529110528578042,0.008237417116971681,0.024781639942754757,0.24565187130093522
6,-26.62,17.43,1,-0.009315414853023216,0.006099462091968243,0.034994045278073684,0.4898332819695484
7,96.43,-17.24,-1,-0.0392229615798567,0.007012380562446638,-0.040675061267091875,0.661784243632671
8,-46.14,88.55,1,0.009219917055170751,-0.01769448754302926,-0.019982481697379175,0.15971982991443745
9,62.14,-57.24,-1,-0.004174456781383685,0.003845283330646961,-0.006717825525239274,0.01805167191502253
10,-58.79,49.15,1,-0.006804505832499499,0.005688747434382554,0.011574257241877018,0.05358537228045703
11,39.09,78.36,1,-0.0036933352220916826,-0.007403677360018015,-0.009448286574806043,0.03570804767986403
12,-64.13,34.69,1,-0.014091256778323397,0.0076224184880717095,0.02197295614895275,0.19312432076952019
13,-38.02,16.58,1,-0.0132178839805412,0.005764137727442742,0.034765607523780113,0.48345898659900655
14,-45.38,-96.35,-1,-0.008292352157903424,-0.017606172992816103,0.018273142701417857,0.13356309767455224
15,-33.4,-50.48,-1,0.005893980435027031,0.008908027914974985,-0.017646648009062967,0.12456167438230636
16,-19.94,-50.61,-1,0.003158993726108952,0.008017887285776033,-0.015842496118901466,0.10039387331096322
17,50.54,25.85,1,0.014970257737952762,0.007656928423547268,0.02962061285704939,0.35095228241087983
18,23.02,49.9,1,0.001963735297561584,0.004256750275774242,0.00853056167489828,0.029108192995697335
19,-31.05,-83.7,-1,-0.002724521538829141,-0.007344362409017684,0.008774626534071307,0.030797628324971286
20,28.86,17.66,1,0.009373051135469245,0.005735553813319019,0.0324776546620556,0.42191922093909673
21,-76.52,17.64,1,-0.021559495567444728,0.004970066672892381,0.0281749811388457,0.31753182486972437
22,-21.1,-55.88,-1,0.0033307324202278333,0.008820916002006223,-0.015785461707240916,0.09967232052430772
23,16.17,-72.89,-1,-5.880381375469496e-05,0.0002650717368323881,-0.0003636599490086268,5.2899423405182805e-05
24,31.14,14.1,1,0.01028513120953658,0.004657043996610975,0.033028680827028194,0.43635750286947983
25,0.32,73.19,1,-4.9309615974150916e-05,-0.01127803372858783,-0.015409254991922161,0.09497805576243122
26,96.68,87.74,1,-0.021970076730306296,-0.019938503644156745,-0.022724531164983755,0.2065617266673271
27,-9.03,-96.03,-1,-0.0014103352390717203,-0.014998282725144774,0.015618330443762131,0.09757289834021879
28,-87.47,15.4,1,-0.023911952989480657,0.004209947136595428,0.02733731906880148,0.2989316055477828
29,22.93,-2.29,-1,-0.012864707818418692,0.0012847876539109817,-0.05610426436292496,1.2590753918819886
30,-22.72,23.67,1,-0.005598568247059471,0.005832663310206765,0.024641585594451898,0.24288309624347973
31,-59.99,90.16,1,0.0175711592963529,-0.026407996702103306,-0.02929014718511902,0.3431650888503743
32,-14.49,45.51,1,-0.001368674210101833,0.004298713823446129,0.009445646722579937,0.03568809680311404
33,-25.9,21.24,1,-0.006827021267962819,0.0055986846228390065,0.02635915547475992,0.2779220309370264
34,-51.64,41.37,1,-0.004331463182200666,0.0034700354734245064,0.008387806317197261,0.02814211792592571
35,-39.74,-39.12,-1,0.01237943449412402,0.012186297871417505,-0.031151068178470104,0.3881556194638771
36,-85.16,42.07,1,-0.0060785491243493,0.003002871790293272,0.0071377984081133165,0.020379266445945995
37,28.61,37.93,1,0.004536583957472366,0.006014422562283357,0.01585663739067587,0.10057317973575203
38,-93.71,7.56,1,-0.029548447816194846,0.002383803921571156,0.031531797904380376,0.39770171163307466
39,-17.78,-41.06,-1,0.005204048777561516,0.012017898920510452,-0.029269115734316738,0.342672454347531
40,-95.04,14.22,1,-0.023782130437420015,0.0035583111828715553,0.025023285392908264,0.2504659247419744
41,34.03,48.94,1,0.00197752210999272,0.0028439592143121866,0.005811114046408228,0.013507618584145203
42,70.75,-82.13,-1,0.006554642756080261,-0.007608944304690768,0.009264512729442065,0.03433247844559762
43,31.57,-61.56,-1,-0.003273297775002699,0.006382775135545332,-0.010368380662029454,0.043001327021098525
