,X,Y,Value,DeltaW1,DeltaW2,DeltaBias,MSE
0,-26.08,-74.08,-1,0.013037475456000001,0.037032829056,-0.049990320000000005,0.99961283748096
1,-86.75,85.17,-1,0.047249633687559196,-0.046389063990425555,-0.05446643652744576,1.1866370831993112
2,-25.81,72.84,-1,0.013564114603880503,-0.03828012815756125,-0.0525537179538183,1.1047573083077937
3,-44.91,27.29,-1,0.02013096986754898,-0.012232780398250091,-0.04482513887229788,0.8037172299683161
4,-6.47,-62.67,-1,0.0028045649106066863,0.027165700610157814,-0.043347216547243994,0.7515924729574652
5,82.84,33.24,-1,-0.04496478558289516,-0.01804236447097339,-0.054279074822422946,1.1784871854312755
6,-26.62,17.43,-1,0.01048532773363179,-0.0068654869420436545,-0.0393889095929068,0.620594479567274
7,96.43,-17.24,-1,-0.04570705834100006,0.008171623828671998,-0.04739921014310905,0.8986740488762447
8,-46.14,88.55,-1,0.016947865549899837,-0.032525650074634385,-0.03673139477654928,0.5396781448922846
9,62.14,-57.24,-1,-0.02397707085161368,0.022086378106636096,-0.03858556622403231,0.5955383683316732
10,-58.79,49.15,-1,0.018010648712371364,-0.015057380238357756,-0.030635565083128702,0.3754151391850458
11,39.09,78.36,-1,-0.01413051760418008,-0.028326102825877487,-0.03614867639851645,0.5226907221458639
12,-64.13,34.69,-1,0.016435826509009748,-0.008890672409130643,-0.025628920176219785,0.2627366197596182
13,-38.02,16.58,-1,0.0097163804381213,-0.004237180106892454,-0.025555971694164382,0.2612430756931724
14,-45.38,-96.35,-1,0.010531350269318247,0.022359973522450706,-0.02320703012190006,0.21542649883151063
15,-33.4,-50.48,-1,0.007472975293404342,0.011294484814702133,-0.022374177525162704,0.2002415279709983
16,-19.94,-50.61,-1,0.00439580087979818,0.011157045262115639,-0.022045139818446236,0.1943952758459375
17,50.54,25.85,-1,-0.014633930035626129,-0.007484904855974187,-0.02895514451053844,0.3353601574504657
18,23.02,49.9,-1,-0.005807569491958814,-0.012588953850944605,-0.025228364430750713,0.25458814874030705
19,-31.05,-83.7,-1,0.005350144414180347,0.014422128420833982,-0.017230738854042988,0.11875934458249066
20,28.86,17.66,-1,-0.006617777281979782,-0.0040495477061594926,-0.02293062121268116,0.21032535567978522
21,-76.52,17.64,-1,0.010065318835052756,-0.0023203374836687227,-0.013153840610366908,0.06920940912117506
22,-21.1,-55.88,-1,0.0032629359434218925,0.008641367797081296,-0.015464151390625082,0.09565599129286864
23,16.17,-72.89,-1,-0.0027937869676165072,0.012593638346912009,-0.017277594110182478,0.11940610329448487
24,31.14,14.1,-1,-0.006155942963622228,-0.0027873730182104506,-0.019768602966031563,0.15631906529143674
25,0.32,73.19,-1,-5.683731619566812e-05,-0.012999759913627966,-0.017761661311146287,0.12619064501274835
26,96.68,87.74,-1,-0.023869267181340498,-0.021662075946326183,-0.02468893998897445,0.24381750311167272
27,-9.03,-96.03,-1,0.001075625573331976,0.011438795548955666,-0.011911689627153665,0.05675533990945609
28,-87.47,15.4,-1,0.0061038116628124904,-0.0010746393004151407,-0.006978177275422992,0.01947798323489194
